San Diego, CA (KSAN)
San Francisco, CA (KSFO)
San Jose, CA (KSJC)
San Juan, Puerto Rico (KSJU)
San Luis Obispo, CA (KSBP)
Sand Point, AK (PSDP)
Sanford, FL (KSFB)
Santa Ana, CA (KSNA)
Santa Barbara, CA (KSBA)
Santa Fe, NM (KSAF)
Santa Maria, CA (KSMX)
Santa Rosa, CA (KSTS)
Saranac Lake, NY (KSLK)
Sarasota, FL (KSRQ)
Sault Ste Marie, MI, (KCIU)
Savannah, GA (KSAV)
Savoonga, AK (PSVA)
Scammon Bay, AK (PSCM)
Scottsbluff, NE (KBFF)
Scranton, PA (KAVP)
Seattle, WA Lake Union SPB (KLKE)
Seattle, WA Seattle/Tacoma International (KSEA)
Selawik, AK (PWLK)
Seward, AK (PSWD)
Shageluk, AK (PSHX)
Shaktoolik, AK (PSKK)
Sheffield/Florence/Muscle Shoals, AL (KMSL)
Sheldon Point, AK (PSXP)
Sheridan, WY (KSHR)
Shishmaref, AK (PSHH)
Shreveport, LA (KSHV)
Shungnak, AK (PSHG)
Silver City, NM (KSVC)
Sioux City, IA (KSUX)
Sioux Falls, SD (KFSD)
Sitka, AK (PSIT)
Skagway, AK (PSGY)
Sleetmore, AK (PSLQ)
South Bend, IN (KSBN)
South Naknek, AK (PWSN)
Southern Pines, NC (KSOP)
Spartanburg/Greenville, SC (KGSP)
Spokane, WA (KGEG)
Springfield, IL (KSPI)
Springfield, MO (KSGF)
St Petersburg/Clearwater, FL (KPIE)
State College/University Park, PA (KSCE)
Staunton, VA (KSHD)
Steamboat Springs, CO (KSBS)
Stebbins, AK (PWBB)
Stevens Point/Wausau, WI (KCWA)
Stevens Village, AK (PSVS)
Stewart Field/Newburgh, NY (KSWF)
Stockton, CA (KSCK)
Stony River, AK (PSRV)
Sun Valley, ID (KSUN)
Syracuse, NY (KSYR)
Takotna, AK (PTCT)
Talkeetna, AK (PTKA)
Tallahassee, FL (KTLH)
Tampa, FL (KTPA)
Tanana, AK (PTAL)
Taos, NM (KTSM)
Tatitlek, AK (PTEK)
Teller Mission, AK (PKTS)
Telluride, CO (KTEX)
Tenakee Springs, AK (PTKE)
Terre Haute, IN (KHUF)
Tetlin, AK (PTEH)
Texarkana, AR (KTXK)
Thief River Falls, MN (KTVF)
Thorne Bay, AK (PKTB)
Tin City, AK (PTNC)
Togiak Village, AK (PTOG)
Tok, AK (PTKJ)
Toksook Bay, AK (POOK)
Toledo, OH (KTOL)
Topeka, KS (KFOE)
Traverse City, MI (KTVC)
Trenton/Mercer, NJ (KTTN)
Tucson, AZ (KTUS)
Tulsa, OK (KTUL)
Tuluksak, AK (PTLT)
Tuntutuliak, AK (PWTL)
Tununak, AK (PTNK)
Tupelo, MS (KTUP)
Tuscaloosa, AL (KTCL)
Twin Falls, ID (KTWF)
Twin Hills, AK (PTWA)
Tyler, TX (KTYR)
Unalakleet, AK (PUNK)
Urbana/Champaign, IL (KCMI)
Utica, NY (KUCA)
Utopia Creek, AK (PUTO)
Vail, CO Eagle County Airport (KEGE)
Valdez, AK (PVDZ)
Valdosta, GA (KVLD)
Valparaiso, FL (KVPS)
Venetie, AK (PVEE)
Ventura/Oxnard, CA (KOXR)
Vernal, UT (KVEL)
Victoria, TX (KVCT)
Visalia, CA (KVIS)
Waco, TX (KACT)
Wainwright, AK (PAIN)
Wales, AK (PWAA)
Walla Walla, WA (KALW)
Washington DC Dulles (KIAD)
Washington DC National (KDCA)
Waterfall, AK (PKWF)
Waterloo, IA (KALO)
Watertown, NY (KART)
Watertown, SD (KATY)
Wausau/Stevens Point, WI (KCWA)
Wenatchee, WA (KEAT)
West Palm Beach, FL (KPBI)
West Yellowstone, MT (KWYS)
Westchester County, NY (KHPN)
Westerly, RI (KWST)
Westsound, WA (KWSX)
Whale Pass, AK (PWWP)
White Mountain, AK (PWMO)
White River, VT (KLEB)
Wichita Falls, TX (KSPS)
Wichita, KS (KICT)
Wilkes Barre, PA (KAVP)
Williamsburg, VA (KPHF)
Williamsport, PA (KIPT)
Williston, ND (KISN)
Wilmington, NC (KILM)
Windsor Locks, CT (KBDL)
Worcester, MA (KORH)
Worland, WY (KWRL)
Wrangell, AK (PWRG)
Yakima, WA (KYKM)
Yakutat, AK (PYAK)
Yellowstone/Cody, WY (KCOD)
Youngstown, OH (KYNG)
Yuma, AZ (KYUM)
